rating,title,review,processed_review_tfidf,processed_review_tfidf_noun_only,processed_review_tfidf_adj_only
5,Found at last,Since COVID I have had a very hard time finding my coffee. Since I found here on Amazon I do not have to drink off brand or not have any at all! I have gotten every order early. This is one happy mama,covid hard time find coffee find Amazon drink brand get order early happy mama,hard time coffee Amazon brand order,hard happy
5,It’s worth the money!,Drink,drink,,
5,Starbuck’s Coffee,Easy to order my favorite coffee. Comes in a secure box with no broken bottles. Easier than running to the supermarkets.,easy order favorite coffee come secure box break bottle easier run supermarket,easy order favorite coffee secure box break bottle supermarket,easy favorite secure easier
5,great product,Great drink,great drink,great drink,great
5,Love the Coffee flavor!,"I love my Coffee Frappuccino! I usually like to keep it in the refrigerator and take sips throughout the day! It’s so refreshing! I think I’m addicted!
JoAnn","love Coffee Frappuccino usually like refrigerator sip day refreshing think addicted 
  joann",Coffee Frappuccino,refreshing addicted
5,Delicious,"Great flavor,larger size, great quality & very satisfying",great flavor large size great quality satisfy,great flavor large size great quality,great large great
5,Yummy,Good taste great value,good taste great value,great value,good great
5,Ordered and received this item in excellent condition.,"I make my own frappe using this item daily, love it.",frappe item daily love,frappe item daily love,daily
5,Good coffee,What can you say? It’s Starbucks ice coffee…,Starbucks ice coffee,Starbucks ice coffee,
5,Love Starbucks,This is good and cheaper than the stores. I have two cases shipped to me every month. So worth it to me.,good cheap store case ship month worth,,good cheap worth
5,Can't beat the flavor!,"A little expensive, but worth it. Delicious coffee drink!",little expensive worth delicious coffee drink,little expensive worth delicious coffee drink,little expensive worth delicious
5,Me gusta mucho este producto,Sabor frapuccino,Sabor frapuccino,Sabor frapuccino,
5,Love love ❤,love love love how I no longer have to hunt this flavor down and hope I can find it. It's delivered right to my front door every other week!!!!! And much cheaper than buying individual ones .,love love love long hunt flavor hope find deliver right door week cheap buy individual one,love love individual one,long right cheap individual
5,GREAT COFFEE DRINK!!,GREAT PRODUCT AND VALUE,great product value,great product value,great
5,Front door service,Thanks !!!coffee flavor,thanks coffee flavor,thanks coffee flavor,
5,Coffee Frappuccino,I liked that my Frappuccino arrived on time and that it was just what Ihad ordered It is nice not to have to go to the store when ever I want a coffee frappuccino. Thank you,like Frappuccino arrive time Ihad order nice store want coffee frappuccino Thank,Frappuccino order coffee frappuccino,nice
5,Once opened coffee disappears to fast!,"Just can't help myself, I drink it down way to fast!",help drink way fast,help,
5,Yummy,I love this coffee and can’t find much of this flavor in my local grocery stores. Was packed very well and arrived in two days. It was worth the wait and money,love coffee find flavor local grocery store pack arrive day worth wait money,love coffee local grocery store pack money,local worth
5,Starbuck’s Coffee,Love this coffee but it took a very long time to get them.,love coffee take long time,love coffee,long
5,One bottle broken but good coffee,"Love the coffee , but one bottle broken when I opened the box",love coffee bottle break open box,love coffee bottle open box,open
5,My fave Starbucks beverage delivered to my door,"Love the flavor, the size, and convenience of having it delivered to my door as a Prime customer. The grocery store I frequent only sells the smaller size, and only in 4 pack - and ridiculously priced unless BOGO. Thank you Amazon/Subscribe & Save for re-adding this product to the S&S choices.",love flavor size convenience having deliver door Prime customer grocery store frequent sell small size 4 pack ridiculously price BOGO thank Amazon subscribe save add product s&s choice,love flavor size convenience Prime customer grocery store frequent sell small size 4 pack ridiculously price BOGO Amazon product s&s choice,frequent small
5,We like the bigger containers,It’s ok,ok,,
5,Luv it!,Caramel is my favorite. A few weeks I couldn’t find these at any of the stores. So glad I was able to find them on here.,caramel favorite week find store glad able find,store,favorite glad
5,Always great - too expensive,"Like always, Starbucks is great, but too expensive. I hear that all the time & I feel the same way. Can’t afford it all the time.",like Starbucks great expensive hear time feel way afford time,Starbucks great expensive hear time,great expensive
5,Good Morning!,Rich & Refreshing Beverage!,Rich Refreshing Beverage,Rich Refreshing Beverage,
5,Frappucino,"Hubbys addiction to this crap was satisfied when our local storrs ran out! Keeps him happy, that's all that matters",hubbys addiction crap satisfy local storrs run keep happy matter,hubbys addiction crap local storrs happy matter,hubbys local happy
5,Wife loves it,Nothing more to say as wife loves it,wife love,wife love,
5,great taste,Available at a good price,available good price,available good price,available good
5,A bit deceitful.,"I feel that it is a bit deceitful to put another item there when the one a person wants isn't available. Yes, I will pay close attention to my orders from now on.",feel bit deceitful item person want available yes pay close attention order,bit deceitful item person close attention order,deceitful available close
5,BEST,BEST,well,,
5,Love this stuff!,Mocha is by far my favorite..smooth coffee chocolate flavor! Little spendy but is sooo good!,mocha far favorite smooth coffee chocolate flavor little spendy sooo good,far favorite smooth coffee chocolate,favorite smooth little spendy good
5,Retailers don't stock it around here any more.,It's the best cold coffee I have found. Hard to find locally.,good cold coffee find hard find locally,good cold coffee,good cold hard
5,My favorite drink,"I have enjoyed Starbucks Frappuccino Mocha for some now. I have always felt they were a little overpriced. I wish I could find their ""Lite"" version of this flavor. There are less expensive brands around, but none of them are as delicious as the Starbucks version in my opinion.",enjoy Starbucks Frappuccino Mocha feel little overpriced wish find Lite version flavor expensive brand delicious Starbucks version opinion,Starbucks Frappuccino Mocha little overpriced wish Lite version expensive brand delicious Starbucks version opinion,little overpriced expensive delicious
5,1 bottle in the box was broken,1 bottle in the box was broken,1 bottle box break,1 bottle box break,
5,Best Flavor!,Very thankful to be able to order my favorite flavor. Delivered direct to my door.,thankful able order favorite flavor deliver direct door,thankful able order favorite flavor direct door,thankful able favorite direct
5,The best mocha coffee,"I cannot resist this coffee, iced, in the summertime. It's so delicious and refreshing. What will I do in the winter?",resist coffee ice summertime delicious refreshing winter,coffee ice summertime delicious refreshing winter,delicious refreshing
5,Very timely delivery,"We've started drinking more of these, but local food stores were very erratic in stocking them.
Buying by the case solves this well!","start drink local food store erratic stocking 
  buying case solve","local food store erratic stocking 
  buying case",local erratic
5,The pkg not marked breakable & 2 were empty & broken,1st that I ordered box was marked breakable & heavy - but this time only marked heavy & 2 bottles were broken & emptied all over box!,1st order box mark breakable heavy time mark heavy 2 bottle break empty box,1st order box mark breakable heavy time mark heavy 2 bottle empty box,breakable heavy heavy empty
5,Great product,Great flavor at a great price,great flavor great price,great flavor great price,great great
5,Price too high,Price too high,price high,,high
5,"Great value & awesome packaging, No broken bottles while shipping",Great taste & value,great taste value,great taste value,great
5,Gotta love SB,Can't beat it!,beat,,
5,Addictive--been drinking for many years!,"Have to have 1 a day. Store has been out for 6 weeks+--due to delivery issues.
So glad to find it on Amazon!","1 day store 6 weeks+--due delivery issue 
  glad find Amazon",6 weeks+--due delivery issue Amazon,
5,Coffee,Delicious a real treat!!,delicious real treat,delicious real treat,delicious real
5,Convenience,I drink this daily,drink daily,,
5,Great Source,I have never had a problem ordering here. I stopped trying to find it in stores. Fresh tasting and quick delivery.,problem order stop try find store fresh tasting quick delivery,problem order stop store fresh tasting quick delivery,fresh quick
5,Good stuff,Great product!,great product,great product,great
5,No safety seals,"There are no safety seals on any of the frapps, I wonder why not. Does any one else have this problem. The pop up on the lid is still in tac tho. I love this mocha flavor, but I have noticed at times it doesn't taste as creamy.",safety seal frapp wonder problem pop lid tac tho love mocha flavor notice time taste creamy,frapp wonder problem pop lid tac,creamy
5,Addicted,"I'm addicted to the Mocha Frappes!!😍 I order everytime they're available!!💜 My only complaint is, if I buy them at the store. EBT will cover them!! But to save money and order from Amazon. EBT won't cover them!! 😢 And that's not right!! 🤔 Just because I have to depend on Food Stamps, doesn't mean it shouldn't be covered!!😢😢😢",addict Mocha Frappes 😍 order everytime available 💜 complaint buy store EBT cover save money order Amazon EBT will cover 😢 right 🤔 depend Food stamp mean cover 😢 😢 😢,addict Mocha Frappes 💜 complaint buy store EBT cover money order Amazon EBT Food stamp cover,available right
5,Can it get any better?,Loved getting my favorite coffee delivered right to my door!,love get favorite coffee deliver right door,love favorite coffee right door,favorite right
5,The flavor is great,The Vanilla and Caramel Frappuccino has always been my favorites,Vanilla Caramel Frappuccino favorite,Vanilla Caramel Frappuccino favorite,
5,Very good.,"I enjoy this drink, very much.",enjoy drink,,
5,🤘,🤘,🤘,🤘,
5,I love the taste of this drink😀,I love the flavor of this drink and it’s a great buy😀,love flavor drink great buy 😀,love flavor buy,great
5,Not best item to have shipped,The product is my favorite. I ordered this product twice. Both shipments were damaged in transit resulting in having about 9 useable out of 36 ordered. I will just continue to purchase my Starbucks locally. Expensive lesson.,product favorite order product twice shipment damage transit result have 9 useable 36 order continue purchase Starbucks locally expensive lesson,product favorite order product twice shipment damage transit result 9 useable 36 order Starbucks locally expensive lesson,favorite twice useable expensive
5,Yummy!!!,Arrived on time!,arrive time,,
5,Delicious Mocha Frap,Classic delight,classic delight,classic delight,classic
5,Cost the same as Walmart per bottle,Best flavor between Mocha and Vanilla extremely hard to find at this price,good flavor Mocha Vanilla extremely hard find price,good flavor Mocha Vanilla price,good
5,Delicious,Awesome,awesome,,awesome
5,My wife’s favorite drink,This flavor is hard to find at a reasonable price but Amazon had it so we bought the twelve pack. It’s mostly Gond so we just reordered another 12 bottles. They really pack them we so all 24 bottles arrived unbroken.,flavor hard find reasonable price Amazon buy pack Gond reorder 12 bottle pack 24 bottle arrive unbroken,flavor reasonable price Amazon pack Gond 12 bottle pack 24 bottle,reasonable unbroken
5,I would not buy this flavor. It was ordered by mistak,I do not like the flavor.,like flavor,flavor,
5,Finally not price gouging!,Love this flavor! This seller didn’t price gouge!!,love flavor seller price gouge,love flavor seller price gouge,
5,A Great Find,It has all the flavor that my wife as looking for in a cold coffee.,flavor wife look cold coffee,flavor wife cold coffee,cold
5,Very Good....,"1 Broken Bottle Out Of 24, I Can Live With That. Very Good Price..",1 break Bottle 24 live good price,1 break Bottle 24 live good price,good
5,Value,Best price yet I've come across on the internet for the size,good price come internet size,good price,good
5,amazing,i want to drink 6 of these every day,want drink 6 day,,
5,FAST shipping!,"Love this coffee! Not a lot of caffeine, which is good for me since I don’t tolerate it well. Price is same as in the stores. This seller ships really fast! I’ve ordered from them again and again it shipped out next business day!",love coffee lot caffeine good tolerate price store seller ship fast order ship business day,love coffee lot caffeine price store seller ship,good fast
5,PERFECT !!!!!!!,Everything was Perfect . Thank's !!!,Perfect Thank,Perfect Thank,
5,Good product bad vendor,Just make sure that it’s not coming from natures they arrive broken and moldy a month later,sure come nature arrive break moldy month later,nature,moldy
5,Great drink,Good quantity and flavor,good quantity flavor,good quantity flavor,good
5,"Packaging change, plastic tampering seal not missing.","Someone mentioned that the wrap that went up the side of the bottle and over the cap was missing. That was all one piece of the bottle label, and now that label has been redesigned to only extend to the bottom of the cap. This is my go to drink, addicted doesn’t describe me accurately enough. I enjoy the coffee flavor, I find it less sweet than the others, but still sweet and creamy. Given everything in 2020 this has been harder to find. Only had one issue with a broken bottle but Amazon allows a return based on this.",mention wrap go bottle cap miss piece bottle label label redesign extend cap drink addicted describe accurately enjoy coffee flavor find sweet sweet creamy give 2020 hard find issue break bottle Amazon allow return base,bottle cap miss piece bottle label label redesign coffee flavor 2020 hard find issue break bottle Amazon return base,addicted sweet sweet creamy hard
5,Fast Delivery,Awesome delivery! Love it!,awesome delivery love,awesome delivery love,awesome
5,Awesome,Great taste my husband love it,great taste husband love,great taste husband love,great
5,Just Right,Her mother loves it and drinks it every day. A great source of taste and enjoyment.,mother love drink day great source taste enjoyment,mother love great source taste enjoyment,great
5,My favorite,I started getting these cases because of local shortages . Finding a coffee flavored Frappuccino in my area was almost impossible so I subscribed to a case every couple weeks! Perfect! AND for the same price as buying them at Sheetz !,start get case local shortage find coffee flavor Frappuccino area impossible subscribe case couple week perfect price buy Sheetz,case local shortage coffee flavor Frappuccino area Sheetz,local impossible perfect
5,Love This Drink,I enjoy one each and every day. I guess I am addicted. The caramel is better than the regular or lite Mocha.,enjoy day guess addicted caramel well regular lite mocha,day addicted caramel well regular lite mocha,addicted regular lite
5,Thank you! Very convenient,I Only like the mocha ones .,like mocha one,mocha,
5,Double Serving,Nothing better than Starbucks flavor in large bottles!,well Starbucks flavor large bottle,Starbucks large bottle,large
5,Great choice.,Excellent,excellent,,excellent
5,One WORD YUM!,"I love, love, love this product. I order it regularly. Pricy, but delish.",love love love product order regularly pricy delish,love love love product order,pricy delish
5,Delicious 🤤,Yum,yum,,
5,Great value,Flavors,flavor,flavor,
5,Breakfast every day,Expensive but I’m addicted.,expensive addicted,,addicted
5,Great deal,Well when my local store didn't have it... Y'all came thru So happy and the right price,local store Y'all come happy right price,local store Y'all happy right price,local happy right
5,Easy to order,My favorite flavor,favorite flavor,favorite flavor,favorite
5,Love these-good price,Love these drinks. I had to cancel my subscription though because my delivery kept getting delayed. Good price for the size.,love drink cancel subscription delivery keep getting delay good price size,love subscription delivery delay good price size,good
5,Why is it not be delivered anymore from you?,I love this product could get two 4 62$ since u don’t deliver it any any longer will cost over $113…crazy🥵,love product 4 62 $ u deliver long cost $ 113 crazy 🥵,love product u 🥵,long crazy
5,My addiction delivered to my door,"I have a serious addiction to the Mocha Frapps. I work from home and drink a few of these a day. I have a hard time finding enough locally to supply my addiction and was delighted to find my preferred size for delivery. I order 3-4 cases every 2 weeks and have only had 1 bottle that was broken because everything is well packed. I came back to order today and it appears that they aren’t available. Please, for my mental health bring back mocha frapps.",addiction Mocha Frapps work home drink day hard time find locally supply addiction delight find preferred size delivery order 3 4 case 2 week 1 bottle break pack come order today appear available mental health bring mocha frapp,addiction Mocha Frapps home drink hard time locally supply addiction delight preferred size delivery order 2 week mental health mocha frapp,hard preferred available mental
5,Love Starbucks,I love Starbucks!!!!,love Starbucks,Starbucks,
